0.50 | 7001  $010014 $aDíaz Jiménez, Juan Eloy | 1001  $08622 $aDíaz-Jiménez, Juan Eloy $d1842-
0.50 | 1001  $010014 $aDíaz Jiménez, Juan Eloy | 1001  $08622 $aDíaz-Jiménez, Juan Eloy $d1842-
* 10.10 | 1112  $06869 $aFestival Internacional de Teatro Clásico $n(20ð. $d1997. $cAlmagro) | 1112  $06864 $aFestival Internacional de Teatro Clásico $n(26ð. $d2003. $cAlmagro)
1.00 | 7001  $05310 $aLogroño, Diego $eed. | 7001  $05310 $aLogroño, Diego $eed.
1.00 | 1001  $0510 $aErcilla y Zúñiga, Alonso de $d1533-1594 | 1001  $0510 $aErcilla y Zúñiga, Alonso de $d1533-1594
* 10.10 | 1001  $aGutiérrez, Juan $dm. 1618 | 1001  $aGutiérrez, Juan $dfl. 1560-1569
1.00 | 1001  $04908 $aRiaño Rodríguez, Timoteo | 1001  $04908 $aRiaño Rodríguez, Timoteo
1.00 | 1001  $014457 $aCortés, Carles | 7001  $06761 $aCortés, Carlos
* 10.10 | 1112  $06879 $aFestival Internacional de Teatro Clásico $n(27ð. $d2004. $cAlmagro) | 1112  $06867 $aFestival Internacional de Teatro Clásico $n(21ð. $d1998. $cAlmagro)
* 10.10 | 1112  $06879 $aFestival Internacional de Teatro Clásico $n(27ð. $d2004. $cAlmagro) | 1112  $06868 $aFestival Internacional de Teatro Clásico $n(22ð. $d1999. $cAlmagro)
* 10.10 | 1112  $06879 $aFestival Internacional de Teatro Clásico $n(27ð. $d2004. $cAlmagro) | 1112  $06869 $aFestival Internacional de Teatro Clásico $n(20ð. $d1997. $cAlmagro)
1.00 | 7001  $034748 $aLópez Bueno, Begoña $edir. | 1001  $034748 $aLópez Bueno, Begoña
1.00 | 1001  $011762 $aRibera, Julián | 7001  $06998 $aRibera, Juan de $d1565-1622 $eimp.
0.50 | 7001  $015693 $aCrasbeeck, Pedro $eimp. | 7001  $017626 $aCraesbeeck, Pedro $d1572-1632 $eimp.
1.00 | 7001  $06119 $aRoa, Luis | 1001  $013089 $aRoda, Lluís $d1961-
0.50 | 1001  $aBotrel, Jean-François | 1001  $04566 $aBotrel, Jean- François
